PC1,PC2,PC3,PC4,PC5
0.097678,0.141762,0.271591,-0.229215,-0.391255
-0.085466,-0.157174,-0.265645,-0.461698,-0.128251
0.349202,0.053895,0.557349,0.287959,-0.177680
0.110858,-0.054224,0.158048,0.096130,0.216856
0.276821,-0.443753,0.042925,-0.119222,-0.003402
-0.465893,0.271762,0.462175,0.469525,-0.145587
0.246684,0.122850,0.027103,0.118764,-0.015040
0.525951,-0.272491,-0.026360,0.050205,0.144520
0.103337,-0.183957,-0.014718,-0.022873,0.105597
-0.281588,0.260351,-0.311963,0.236609,-0.072141
-0.134550,0.073823,0.066770,-0.485367,0.034113
-0.135070,0.077866,0.302172,0.056589,0.343666
0.643586,0.085925,-0.048309,-0.252775,0.228662
0.562221,0.288462,-0.140727,0.070311,-0.041247
0.177288,0.328179,0.309187,-0.054346,0.047730
0.185065,0.126645,-0.096844,0.208927,0.166885
-0.288285,-0.166234,0.190496,-0.145154,0.138943
0.053117,-0.137550,0.472222,-0.211728,0.056300
-0.238841,-0.166542,-0.150509,-0.056203,0.417418
0.109446,-0.208539,0.255018,-0.189676,0.277138
0.100132,-0.033051,-0.332351,-0.080577,0.243399
-0.217251,0.539251,0.047315,0.121252,-0.198001
0.059114,0.469005,-0.078927,0.206887,-0.304393
0.422029,-0.072931,-0.170927,0.444171,0.282552
-0.014809,-0.239481,0.152386,-0.005056,-0.418980
-0.210013,0.432464,-0.359993,-0.292627,-0.056847
-0.252703,-0.631590,-0.024150,0.002847,0.242971
-0.049200,-0.036142,0.342025,0.460702,-0.207959
0.121338,-0.198336,-0.195561,-0.114252,0.219656
-0.049598,0.056128,0.456503,0.040303,0.443337
0.162978,-0.547432,0.217592,-0.216784,0.329413
0.115629,-0.119683,-0.235776,-0.131088,-0.010284
-0.149422,-0.086248,-0.295168,0.075706,-0.033374
-0.159958,0.104564,-0.390972,-0.055149,-0.361228
0.018748,0.445212,-0.497579,-0.103981,0.445062
0.175489,-0.078579,0.037667,-0.126893,-0.603805
-0.399187,-0.144053,-0.004524,-0.121520,-0.127024
0.263690,-0.079235,-0.081493,-0.180722,-0.536136
-0.514789,0.259682,-0.107231,-0.111282,0.330231
0.249463,0.410292,0.494706,0.065829,0.003439
0.162830,0.056758,0.210660,0.196050,0.373041
-0.274239,-0.232933,-0.003067,0.024563,-0.114416
0.146234,0.017726,-0.194499,0.171801,-0.128278
0.297474,0.354451,0.300659,-0.498931,0.005405
0.186623,-0.727932,0.080974,0.123834,-0.019374
-0.331377,0.267075,-0.703659,0.452906,-0.043376
-0.088591,-0.374371,0.543980,-0.285433,0.042907
-0.302877,-0.498318,-0.039106,0.152137,-0.775899
-0.208584,-0.298874,-0.019755,-0.328055,0.096999
0.406209,0.226079,-0.395623,-0.052199,-0.099705
0.099570,-0.099591,-0.282068,0.417694,-0.112800
0.066242,0.269970,-0.045027,0.259031,0.038635
0.468406,0.258928,-0.032357,-0.307173,-0.276293
0.182353,-0.092260,0.254607,-0.143957,-0.366264
0.284973,-0.169314,-0.321911,0.171434,0.686144
-0.248386,0.200215,0.398696,-0.499994,0.039809
0.016242,0.360684,-0.073374,0.115717,0.173728
0.094951,0.176713,0.079695,0.310401,-0.467631
-0.036459,0.080970,-0.383151,-0.361730,0.178428
-0.202104,-0.182524,-0.262287,-0.239043,-0.227880
-0.096700,-0.259527,0.079360,0.054034,0.217172
0.059654,0.023793,-0.109240,-0.304641,-0.047241
-0.140325,-0.109740,-0.379422,-0.306638,-0.043507
0.283338,-0.014250,-0.123368,-0.127507,0.270983
-0.091561,-0.012237,0.360651,0.047904,0.075482
-0.127726,-0.326989,-0.103445,0.464664,-0.159589
-0.033506,-0.480520,-0.475825,0.023398,-0.112312
0.116522,0.170450,0.163652,0.354149,0.124367
-0.077939,0.249273,0.158542,0.242689,0.265719
-0.332229,-0.120938,0.146871,0.334221,0.030777
0.145961,-0.097965,-0.259039,0.126858,0.345864
0.050702,0.509006,0.464686,-0.216677,-0.424531
-0.186582,0.169304,-0.029694,0.085561,0.045066
-0.447276,0.467246,0.074167,0.480420,0.523591
-0.101711,-0.172461,-0.073320,0.321300,0.237464
0.260797,0.335950,-0.428668,0.265221,0.476326
-0.163839,-0.351502,0.184527,0.686998,-0.499783
0.096821,-0.149559,-0.057256,-0.425736,-0.113879
-0.471107,0.254230,-0.449129,-0.069169,0.030830
0.702565,-0.329099,-0.275875,0.081275,-0.008016
0.100245,0.276337,0.115520,-0.224875,-0.356721
0.196890,0.028531,0.262078,-0.340335,-0.240465
0.209544,0.038632,0.021355,0.125738,-0.276513
0.489242,0.524538,0.009638,0.006989,0.094274
0.204235,0.355139,0.000748,-0.255300,0.290999
0.012842,-0.283728,-0.136707,-0.099532,-0.087150
0.123928,-0.460059,-0.419948,-0.140873,0.371795
-0.105352,0.273832,-0.137469,-0.052066,0.632773
-0.118492,0.006799,-0.338805,-0.528861,-0.386386
0.496631,-0.218680,-0.237345,-0.555178,-0.405727
0.112383,0.221447,-0.366585,-0.096711,0.000013
0.034718,-0.441161,0.121625,0.144620,0.326605
-0.190862,0.040150,0.154539,0.249376,-0.064681
0.120609,0.154236,-0.577019,-0.330163,0.014385
0.019567,-0.482227,0.408486,-0.034379,0.486755
-0.165561,0.238123,-0.155891,-0.384469,-0.512654
-0.129099,-0.373891,0.036126,0.045234,0.077433
-0.209247,0.729643,-0.559789,-0.331131,0.326615
0.008794,0.399607,0.248105,-0.110997,-0.054991
-0.016256,-0.471583,0.276788,0.345051,0.317121
0.146658,0.127467,-0.518342,0.066361,-0.583809
-0.022909,-0.164096,-0.558157,0.229866,0.017157
0.193499,0.060120,-0.187575,0.214617,0.077176
-0.402892,-0.037552,-0.223124,-0.405860,-0.343954
-0.052301,-0.324109,0.159585,-0.189096,-0.222055
0.379249,0.178134,0.087947,0.830645,-0.046108
-0.528247,-0.434774,0.123869,-0.165930,0.632822
-0.029835,-0.102605,0.145348,-0.303303,0.265872
-0.297385,-0.560140,0.453208,-0.043726,0.147810
0.012519,0.209679,0.480018,0.317622,-0.111570
0.118427,0.001318,0.226001,-0.357688,0.964416
-0.315257,-0.472010,0.066934,0.044532,0.073737
-0.488800,0.018612,0.535491,-0.108287,0.317445
-0.037471,0.338168,0.044436,-0.238475,0.071792
-0.097097,0.279950,-0.192522,0.379477,0.322640
0.237822,0.106293,0.138175,0.102105,-0.230874
-0.334146,-0.014239,0.033383,0.342008,-0.173717
0.148273,0.302818,0.095709,0.454570,-0.246494
-0.233136,0.067646,-0.099374,-0.147235,0.105013
0.016850,0.334739,0.062826,-0.242726,0.062536
-0.102676,0.043951,-0.390983,-0.127396,0.021912
-0.077994,-0.026200,0.040181,0.169597,-0.049767
0.456907,0.587672,-0.024106,-0.333624,0.322368
0.070248,-0.535169,0.063335,-0.026134,-0.090521
0.483769,0.100363,-0.288722,-0.195809,0.074074
-0.207086,-0.083502,-0.178966,-0.162185,-0.352784
-0.141849,0.061362,0.063124,0.438881,-0.134906
0.143065,-0.202281,-0.006277,0.240616,0.205428
-0.197237,0.055437,0.252919,-0.247928,0.572692
-0.371747,0.369089,0.106566,0.043369,0.064620
-0.075561,-0.960369,-0.139155,-0.077605,-0.165483
-0.262018,0.811880,0.053549,-0.285717,0.261148
0.171350,0.403751,0.251760,0.055339,0.432924
0.439624,0.333567,-0.404607,0.124906,0.129853
0.141519,-0.184644,-0.020635,0.228731,0.502130
0.209870,-0.425492,-0.101075,0.335188,-0.192141
-0.214539,-0.236789,0.297584,-0.217470,-0.089108
-0.281638,-0.024763,0.005902,-0.140727,0.241027
-0.421650,-0.165793,0.120338,-0.274320,-0.103198
0.423617,0.140306,-0.404289,-0.272150,-0.051817
-0.031823,0.142471,-0.065881,-0.083506,0.013696
-0.046210,-0.248053,-0.234180,0.037779,-0.406295
0.120950,0.195206,0.328706,0.095601,-0.295013
-0.457875,-0.441340,0.082841,-0.188128,-0.085790
0.227068,0.158534,-0.698495,-0.066874,-0.281312
0.144158,-0.276495,0.005771,0.131526,-0.307597
-0.257999,-0.250997,0.088416,-0.405163,0.406377
0.579902,-0.223139,0.174438,-0.014600,0.063082
-0.042444,0.098835,0.046815,-0.101112,0.157576
-0.229796,-0.269742,0.003732,-0.002663,0.098137
-0.093598,-0.138261,0.123828,-0.116734,-0.253106
0.386937,0.027537,-0.399969,0.121021,-0.782944
0.092571,-0.212749,0.150099,-0.315959,0.055214
0.316405,-0.181253,-0.359017,-0.140999,0.175467
0.515216,-0.299198,-0.016948,0.321613,-0.130930
0.342687,-0.071985,0.284937,-0.203990,0.126375
-0.223102,0.020230,-0.338222,0.040477,0.243129
0.176720,0.321073,-0.003887,0.164791,0.318465
0.630401,0.012781,0.356629,0.286412,-0.328302
0.008979,-0.210207,0.024287,-0.182093,0.391808
-0.196878,0.318627,-0.281025,-0.066791,-0.263298
-0.323145,0.081938,0.163381,-0.168386,-0.169716
0.139251,0.328333,0.253655,-0.621468,-0.360063
-0.064180,0.021929,0.247570,-0.022476,0.134039
0.291473,-0.543211,-0.654324,-0.089294,0.244207
0.257400,0.056016,-0.029799,0.048744,0.200452
-0.059537,0.368329,0.370302,-0.398891,0.166989
0.178934,-0.074544,-0.272339,0.115402,0.053261
-0.236022,0.019814,-0.131841,-0.158439,0.179382
-0.609652,0.244405,-0.068035,0.255042,-0.097070
-0.254657,0.228523,0.181902,0.247033,-0.057699
-0.491110,0.354184,0.091794,0.067370,-0.338380
0.032393,0.406292,0.370790,0.048582,0.195309
-0.441677,-0.270129,-0.129333,0.705265,0.009669
0.246083,0.314365,-0.045890,0.292077,0.176492
-0.153098,-0.164484,-0.065538,-0.002286,-0.001344
-0.008634,-0.291424,-0.028516,-0.179107,0.076478
0.509159,-0.148469,-0.122372,0.504731,-0.289292
-0.168393,-0.058000,-0.306717,-0.195650,0.079754
0.364276,0.263128,-0.252844,-0.034139,-0.097327
0.239004,0.155985,-0.153259,0.043207,0.328574
-0.019509,-0.375442,0.146781,0.089542,-0.323106
-0.067878,-0.094915,-0.328217,0.499285,0.709650
0.177378,-0.061840,0.319071,0.289017,-0.278468
-0.277262,0.172225,-0.237227,0.160954,-0.002540
0.415254,-0.672528,0.231533,-0.507537,-0.065569
0.001805,0.235726,-0.128257,0.490331,0.252852
-0.111278,-0.103560,0.594928,-0.407079,0.209006
0.422103,-0.073283,-0.181790,-0.081973,0.437837
-0.451403,-0.302746,-0.101449,-0.124070,-0.171201
0.329995,-0.003549,-0.340926,-0.471809,0.024682
0.127508,0.225522,0.320485,0.175908,0.043649
-0.094204,0.213535,0.653221,-0.321852,0.254958
0.229868,-0.081624,-0.177868,-0.147918,0.275801
-0.503957,-0.057054,0.042325,-0.126891,0.021480
-0.212771,0.088743,-0.069138,-0.205725,0.449555
0.294398,-0.247289,-0.097288,-0.081409,0.123010
-0.308386,-0.111131,0.008089,-0.320419,-0.280125
0.238320,-0.650809,0.387736,-0.044023,0.083661
-0.439268,-0.561071,-0.145288,-0.264979,0.067042
-0.012455,0.526459,0.515177,0.202565,0.093616
0.527278,0.661159,0.049762,0.013384,0.343486
-0.298348,-0.280159,0.243544,-0.054484,-0.690133
0.061949,0.186043,0.041578,-0.214232,-0.188659
0.693059,-0.021643,-0.100966,-0.097821,0.190041
-0.088125,-0.077965,0.658141,-0.089876,-0.375011
-0.056416,-0.668004,0.274791,0.150392,-0.260009
-0.088673,-0.463225,0.408027,-0.246930,-0.191920
0.088462,0.342120,-0.374985,-0.918827,0.447421
0.543822,-0.118781,-0.225120,0.686672,-0.421324
0.113696,0.071218,0.165065,-0.100407,0.635884
-0.045380,-0.073688,-0.550093,0.560454,0.386988
0.141356,-0.133896,-0.076966,-0.089375,0.182328
0.053465,-0.236383,-0.500973,0.240955,0.257952
0.081725,0.394075,-0.096343,0.229606,0.071823
-0.163499,-0.064245,0.176320,0.339887,-0.294215
-0.352937,0.091515,0.011293,-0.239276,0.117838
-0.069275,0.062887,0.587460,0.101068,0.446651
0.202336,-0.100433,0.264318,0.111100,0.021286
-0.215047,-0.000280,0.555655,0.141916,-0.408905
0.354884,-0.153858,-0.289811,0.648870,0.375019
-0.212057,-0.388045,-0.140450,0.060944,0.193786
0.133667,0.171934,0.193156,0.396980,-0.129376
-0.189326,-0.335499,-0.614738,0.018073,0.011684
0.238838,0.072353,-0.171965,0.381228,0.090934
-0.246090,-0.164413,-0.258533,0.132000,0.479650
0.039991,-0.176719,0.356768,-0.422806,0.004779
0.196238,-0.157953,-0.288241,-0.251048,-0.532961
-0.490984,0.174273,-0.186109,-0.065597,0.555389
0.418670,0.011656,-0.130277,0.638232,0.073125
-0.115952,0.232201,0.073197,0.350773,-0.078934
0.307210,-0.711034,0.464940,-0.244841,-0.108287
0.447791,-0.312814,-0.189841,0.225012,-0.219988
-0.264288,-0.448159,0.234208,-0.158059,0.027720
0.123686,0.039503,0.404981,0.026506,-0.053564
0.518365,0.079958,-0.500719,0.571169,-0.068217
0.371233,-0.450665,0.295859,0.214717,0.470464
-0.026326,0.203595,-0.353691,0.074538,0.126269
0.030520,0.543307,0.237995,-0.324130,0.037548
-0.142837,0.293029,0.527773,-0.046127,0.315987
-0.298014,-0.004125,-0.291603,0.195658,0.005656
-0.018088,0.009460,0.335268,-0.232511,-0.088961
0.013608,0.047588,0.191428,0.221885,0.082145
0.114867,-0.021054,-0.654234,-0.713880,0.041655
-0.260231,0.561073,0.245678,0.314305,0.132020
-0.301978,-0.230665,-0.030763,-0.182027,-0.071508
0.210610,-0.078095,-0.091582,-0.120181,0.226435
-0.120779,0.418602,0.062649,0.020967,-0.465560
0.009164,-0.481681,-0.456658,0.197301,-0.226697
-0.232298,0.144123,-0.010681,-0.438650,0.408293
-0.129118,-0.324146,-0.072029,-0.022942,-0.228221
0.057851,-0.422882,0.425769,-0.338883,-0.265888
0.120733,-0.093288,0.098448,-0.216517,-0.087324
-0.043520,0.052996,0.258255,-0.159174,-0.098896
-0.449493,0.027438,-0.028838,0.694065,0.218162
0.336538,-0.017216,0.118640,-0.152353,-0.275364
-0.190875,-0.228813,-0.047653,0.313320,0.094490
0.312003,0.105217,0.051226,0.227286,0.309411
0.323096,0.088209,-0.540740,0.040292,-0.004796
0.063479,0.193938,-0.225566,0.224636,0.390210
-0.299519,-0.277614,-0.233439,0.018380,0.140334
-0.208012,0.041659,-0.068921,-0.181505,-0.277607
0.047928,0.088574,-0.452119,-0.618712,-0.082911
-0.068072,0.372429,0.108514,-0.190047,0.283993
0.106985,0.031001,0.235677,-0.055030,-0.062783
0.038797,0.011262,-0.052059,-0.428661,0.389686
-0.541287,0.274772,-0.029877,0.084563,-0.066582
0.506213,-0.010067,0.431109,0.148839,0.349995
-0.405934,-0.026932,-0.073273,-0.442214,0.112151
-0.439027,0.326175,-0.145364,-0.106007,0.163790
0.131913,-0.040375,0.055864,0.469982,0.174261
0.340907,0.173803,0.256397,0.791790,0.093102
-0.187809,-0.419583,-0.523184,-0.135227,-0.410671
-0.348939,0.368899,0.107819,0.014041,-0.222660
-0.186843,-0.146312,0.026032,0.277952,0.451501
-0.259926,0.178154,-0.325663,-0.081957,-0.000741
0.621343,-0.342144,0.326592,-0.531225,0.005978
0.004625,-0.252123,0.180706,-0.115887,-0.103520
0.160420,0.419583,0.051394,-0.151539,0.057117
0.110316,-0.161228,0.098034,0.453143,0.636495
0.308473,-0.070710,-0.342240,-0.262027,-0.131300
0.224914,0.055174,-0.130252,-0.085049,-0.254881
0.328164,0.263243,-0.197508,-0.225353,-0.085766
-0.035144,0.224214,0.485654,-0.159227,0.157239
-0.077831,-0.406341,0.419876,-0.305328,0.190764
0.396509,-0.168618,-0.351086,-0.120702,0.461360
-0.016322,0.288002,0.473767,0.107821,-0.217784
0.552569,-0.218162,0.490180,-0.033003,0.265209
0.029881,0.492036,0.080910,0.121683,-0.062270
-0.072982,-0.118058,-0.049966,-0.029201,-0.112376
-0.247166,-0.206890,-0.212170,-0.216315,0.017807
-0.443159,0.188881,-0.060140,0.123020,-0.498759
-0.085239,-0.224304,-0.330461,-0.090921,0.003233
-0.426350,-0.546328,0.413021,0.220489,-0.042544
0.359032,-0.456426,-0.257527,-0.384368,0.388093
-0.128895,0.140607,-0.266800,-0.150578,0.146086
-0.591902,0.008819,0.083581,-0.345705,0.032329
0.189008,0.410559,0.413607,0.477949,0.291945
0.231238,0.248650,-0.298832,0.345145,0.327155
-0.372817,0.570501,-0.136137,-0.254548,0.267408
0.073645,-0.229012,0.066930,-0.209299,-0.419590
-0.157719,-0.284684,0.031018,0.241434,0.134322
-0.073356,0.208139,0.207219,-0.595485,0.104756
-0.089172,0.275881,0.073357,0.141922,0.021296
0.126688,-0.011114,0.071655,0.292731,0.078683
0.168168,-0.009086,0.226850,0.306739,0.176960
-0.114216,0.016881,0.283054,0.091095,0.375584
0.605890,0.260861,-0.289550,-0.045735,-0.150139
0.354544,0.438690,0.232905,0.038349,-0.112771
0.356047,-0.072700,0.379544,0.139494,-0.239532
0.288376,-0.092382,-0.302134,0.165436,-0.352102
0.941921,0.013104,-0.315034,-0.247332,-0.044480
0.109401,-0.155970,-0.644588,0.043554,-0.279483
-0.396966,-0.745585,-0.477270,0.484163,-0.015996
0.581943,-0.338584,0.450730,-0.118954,-0.277340
-0.033793,0.119568,0.360777,0.241853,0.139127
0.339000,-0.383538,0.014001,-0.253792,-0.224825
-0.076030,0.006230,-0.717309,0.026639,-0.000577
0.326174,0.211903,0.279369,-0.115171,0.177525
-0.051496,-0.156748,-0.293169,0.351161,-0.033325
-0.443282,-0.056429,0.019222,0.317035,0.122058
0.039067,0.012401,0.281974,0.068627,-0.222376
0.037571,-0.357976,-0.130765,0.154813,-0.253886
-0.048466,-0.126952,-0.712251,-0.292769,-0.048813
0.156108,-0.534758,-0.017103,0.734824,0.170606
0.198794,0.113802,-0.389703,0.024712,0.073438
-0.164702,-0.362239,0.085152,0.179214,0.498526
0.121060,0.185447,-0.571212,0.028224,-0.180457
0.183919,-0.232527,-0.028769,0.233286,-0.282940
-0.370806,-0.148663,-0.012307,-0.470781,0.331043
0.319178,0.135658,0.291431,0.258193,0.299069
0.401196,-0.036812,-0.068046,0.154366,0.307289
-0.096852,0.087942,0.497002,-0.465025,-0.213013
0.200922,0.267430,-0.046990,-0.013784,-0.243667
0.175650,-0.042506,-0.023822,0.100558,-0.058927
0.089630,-0.271287,-0.267840,0.095925,0.096540
-0.109364,0.066436,0.301025,0.048727,0.155229
-0.140693,0.151610,0.136381,-0.396524,-0.105770
-0.296633,-0.056728,0.068478,-0.387097,0.070148
-0.355660,0.001604,0.125654,0.242169,0.149620
-0.029348,-0.066940,0.358651,-0.700878,0.353208
-0.134304,0.079758,0.534656,0.295682,-0.189197
0.256370,-0.101908,0.195599,0.272010,0.380148
-0.490081,-0.366406,-0.318206,0.192486,0.380694
-0.023622,-0.008771,-0.046085,-0.605942,-0.103630
0.015531,0.343476,0.415038,-0.197020,0.077626
-0.448210,-0.238812,0.027403,0.113761,0.366734
0.158026,-0.101581,0.144483,0.073499,0.238555
0.065385,-0.508462,-0.073688,0.109150,0.418911
0.202830,0.510688,0.004922,-0.152879,0.405674
-0.056138,-0.102899,0.537388,0.523431,0.395562
-0.329771,0.247081,0.323018,-0.277645,0.092566
0.505797,0.113940,0.013325,0.073448,0.042170
-0.654476,0.745078,0.017968,-0.290464,0.011373
0.004594,0.327130,-0.016752,-0.140474,-0.330742
-0.331041,-0.262351,0.280036,0.479823,-0.088158
0.123222,-0.068940,0.388344,0.253036,0.119446
-0.089921,-0.361324,-0.177777,0.161707,-0.127626
0.114626,0.227901,-0.015999,0.401176,-0.300642
0.156881,-0.133074,0.374279,-0.020380,-0.128923
0.437944,-0.067796,0.087462,-0.152441,0.063048
0.032719,0.323033,-0.509096,-0.142408,-0.335758
-0.127920,-0.121861,-0.441793,-0.083430,-0.423215
-0.186344,-0.631229,0.340627,-0.058918,-0.168121
0.407359,0.257884,-0.369803,-0.146814,0.310508
-0.005417,0.504897,0.059742,-0.112593,0.354524
-0.113625,0.004204,0.067697,-0.084299,0.145980
-0.605034,-0.204331,0.289967,0.117231,0.166358
-0.328506,-0.271017,0.080619,0.265352,-0.093401
-0.236731,-0.362392,-0.200900,0.379275,-0.060312
-0.097110,0.460356,0.035299,0.032973,0.089608
0.233640,-0.127330,-0.069465,-0.055496,0.103236
-0.142620,-0.222782,-0.004964,0.106676,-0.591424
0.099792,-0.055966,0.364391,-0.016475,0.196324
-0.134149,-0.043847,-0.145021,0.652937,0.182624
0.300547,-0.060177,0.004598,0.038451,-0.149602
0.496411,0.110665,0.212023,0.362521,-0.189964
-0.006909,-0.461802,0.079833,-0.077165,-0.041660
0.003495,-0.096022,-0.235822,-0.070089,-0.172772
-0.458137,-0.296397,0.084776,-0.449062,-0.248767
-0.155795,0.557407,0.358217,0.417293,0.152765
0.297437,0.153082,0.494070,0.007996,0.094260
-0.068049,0.241903,0.251258,-0.475035,-0.261621
-0.419393,0.150548,-0.402685,-0.057661,-0.452003
0.275714,0.131121,-0.104601,0.094138,0.031057
-0.422362,-0.258517,-0.120910,-0.224912,-0.256843
-0.156252,0.307842,0.147553,0.259149,0.145119
-0.170121,-0.076690,-0.065461,-0.085193,-0.120563
-0.077741,-0.345022,0.084143,-0.078272,0.079065
-0.677052,0.226168,0.186496,-0.073449,0.125297
-0.070157,0.196612,0.677703,-0.018911,-0.841417
-0.255130,-0.226510,-0.121280,0.101942,-0.199661
-0.400082,0.132806,0.023563,-0.286686,0.082339
0.030309,-0.049224,0.216256,0.204931,-0.103296
0.342122,0.261199,0.162983,0.157195,-0.002899
-0.304393,0.011762,-0.161296,0.360860,0.240105
0.134256,-0.546086,0.565908,0.430933,0.271498
-0.233319,-0.215183,-0.187384,0.110599,-0.078423
-0.450304,-0.186133,-0.083204,-0.397186,0.060688
-0.149133,0.122929,-0.068016,-0.076127,-0.353179
0.057194,-0.129162,0.080728,-0.097210,-0.133749
0.624129,0.363302,0.382972,0.121379,0.074398
0.451936,0.367444,-0.305261,0.460750,-0.224419
0.027416,-0.005591,0.173555,0.256358,0.011815
-0.038418,-0.415014,-0.172262,-0.402646,0.285740
0.181591,0.229424,0.150814,0.042657,0.556062
0.091935,-0.306678,0.149776,0.030592,0.155549
-0.098262,0.133257,-0.239270,0.146774,-0.054648
0.348427,-0.119716,-0.048317,-0.095517,0.173070
0.047768,-0.003108,-0.369661,0.050677,0.293907
0.184676,-0.430605,-0.058137,0.499512,0.199133
0.191940,0.330685,-0.011407,-0.153711,0.244151
-0.125837,-0.150393,-0.795087,0.268544,0.050871
